 ,Area,Mean,Min,Max
213,91092.013,177.109,103,350
214,91092.013,177.055,99,351
215,91092.013,176.981,94,339
216,91092.013,176.943,99,336
217,91092.013,176.951,104,344
218,91092.013,176.834,98,324
219,91092.013,176.844,99,335
220,91092.013,176.630,102,326
221,91092.013,177.196,95,349
222,91092.013,178.629,103,329
223,91092.013,178.693,103,333
224,91092.013,178.555,95,349
225,91092.013,178.420,99,342
226,91092.013,178.321,99,334
227,91092.013,177.992,93,332
228,91092.013,177.601,102,362
229,91092.013,177.310,97,324
230,91092.013,177.379,98,331
231,91092.013,177.160,93,324
232,91092.013,177.011,102,335
233,91092.013,176.887,105,331
234,91092.013,176.891,102,332
235,91092.013,176.893,103,326
236,91092.013,176.462,101,351
237,91092.013,176.568,94,338
238,91092.013,176.442,89,338
239,91092.013,176.517,99,338
240,91092.013,176.531,96,335
241,91092.013,176.493,106,344
242,91092.013,176.390,103,328
243,91092.013,176.535,93,351
244,91092.013,176.379,104,333
245,91092.013,176.355,106,343
246,91092.013,176.618,100,339
247,91092.013,176.662,99,347
248,91092.013,176.407,97,334
249,91092.013,176.622,97,337
250,91092.013,176.773,103,325
251,91092.013,176.510,102,332
252,91092.013,176.626,91,333
253,91092.013,176.765,96,351
254,91092.013,176.621,104,332
255,91092.013,176.463,101,323
256,91092.013,176.539,100,330
257,91092.013,176.344,105,334
258,91092.013,176.566,94,334
259,91092.013,176.651,92,329
260,91092.013,176.498,98,324
261,91092.013,176.582,98,334
262,91092.013,176.803,102,328
263,91092.013,176.628,102,342
264,91092.013,176.587,101,326
265,91092.013,176.352,97,333
266,91092.013,177.765,102,335
267,91092.013,178.104,101,327
268,91092.013,178.060,103,339
269,91092.013,178.175,103,349
270,91092.013,177.912,98,319
271,91092.013,177.667,103,337
272,91092.013,177.531,104,336
273,91092.013,177.041,100,328
274,91092.013,176.781,101,345
275,91092.013,176.736,104,348
276,91092.013,176.437,90,351
277,91092.013,176.418,97,362
278,91092.013,176.379,96,329
279,91092.013,176.268,100,340
280,91092.013,176.320,97,326
281,91092.013,176.154,101,335
282,91092.013,176.017,99,340
283,91092.013,176.043,100,326
284,91092.013,175.904,99,339
285,91092.013,176.083,105,327
286,91092.013,175.947,100,332
287,91092.013,176.036,98,329
288,91092.013,175.973,99,337
289,91092.013,175.968,103,333
290,91092.013,175.945,94,331
291,91092.013,176.160,101,346
292,91092.013,176.181,97,331
293,91092.013,176.212,94,347
294,91092.013,176.039,100,331
295,91092.013,176.031,100,330
296,91092.013,176.088,98,342
297,91092.013,175.845,95,335
298,91092.013,175.913,97,333
299,91092.013,176.201,101,325
300,91092.013,175.986,97,332
301,91092.013,176.075,99,345
302,91092.013,176.193,99,334
303,91092.013,176.105,98,340
304,91092.013,176.180,101,327
305,91092.013,176.072,103,345
306,91092.013,176.088,103,322
307,91092.013,176.035,97,342
308,91092.013,175.891,98,318
309,91092.013,176.057,102,331
310,91092.013,176.706,100,344
311,91092.013,177.781,104,331
312,91092.013,177.767,98,343
313,91092.013,177.489,98,334
314,91092.013,177.360,103,336
315,91092.013,177.328,92,329
316,91092.013,177.175,99,339
317,91092.013,176.648,103,329
318,91092.013,176.563,101,340
319,91092.013,176.327,104,329
320,91092.013,176.229,94,332
321,91092.013,175.953,102,339
322,91092.013,175.944,104,334
323,91092.013,175.768,101,339
324,91092.013,175.717,100,342
325,91092.013,175.762,97,337
326,91092.013,175.728,105,323
327,91092.013,175.691,102,333
328,91092.013,175.670,98,332
329,91092.013,175.878,101,330
330,91092.013,175.961,99,333
331,91092.013,175.814,93,328
332,91092.013,175.639,93,339
333,91092.013,175.685,100,349
334,91092.013,175.648,97,343
335,91092.013,175.393,101,332
336,91092.013,175.368,92,335
337,91092.013,175.715,95,338
338,91092.013,175.767,102,320
339,91092.013,175.447,100,322
340,91092.013,175.754,104,335
341,91092.013,175.516,93,326
342,91092.013,175.617,96,325
343,91092.013,175.720,103,319
344,91092.013,175.655,101,320
345,91092.013,175.641,102,329
346,91092.013,175.820,100,319
347,91092.013,175.613,104,327
348,91092.013,175.377,94,324
349,91092.013,175.393,97,332
350,91092.013,175.645,100,347
351,91092.013,175.524,98,334
352,91092.013,175.749,104,343
353,91092.013,175.745,98,337
354,91092.013,175.788,92,348
355,91092.013,175.820,101,326
356,91092.013,175.854,96,329
357,91092.013,175.987,100,341
358,91092.013,175.840,97,319
359,91092.013,177.393,100,321
360,91092.013,177.641,98,330
361,91092.013,177.522,101,335
362,91092.013,177.319,101,328
363,91092.013,177.002,102,338
364,91092.013,176.798,96,315
365,91092.013,176.644,102,327
366,91092.013,176.367,103,335
367,91092.013,176.068,99,356
368,91092.013,176.144,91,329
369,91092.013,175.806,103,332
370,91092.013,175.589,94,334
371,91092.013,175.412,99,315
372,91092.013,175.315,94,325
373,91092.013,175.332,94,332
374,91092.013,175.250,94,319
375,91092.013,174.966,96,322
376,91092.013,175.044,100,331
377,91092.013,174.938,101,336
378,91092.013,175.155,91,335
379,91092.013,175.165,100,322
380,91092.013,175.286,92,346
381,91092.013,175.186,105,332
382,91092.013,175.253,100,345
383,91092.013,174.991,98,334
384,91092.013,175.085,96,323
385,91092.013,175.231,98,322
386,91092.013,175.363,84,332
387,91092.013,175.365,98,326
388,91092.013,175.309,95,327
389,91092.013,175.450,102,320
390,91092.013,175.379,95,336
391,91092.013,175.546,98,323
392,91092.013,175.507,100,341
393,91092.013,175.361,96,326
394,91092.013,175.343,106,325
395,91092.013,175.381,100,330
396,91092.013,175.384,100,333
397,91092.013,175.378,96,328
398,91092.013,175.556,100,331
399,91092.013,175.331,92,327
400,91092.013,175.346,101,322
401,91092.013,175.100,96,330
402,91092.013,175.195,101,340
403,91092.013,175.274,101,334
404,91092.013,175.246,100,324
405,91092.013,175.486,98,347
406,91092.013,176.607,98,321
407,91092.013,177.047,95,330
408,91092.013,177.105,98,333
409,91092.013,176.975,99,324
